CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,1,-,-,-,"8,690.00",-,-,-,-,-,"12,000.00","1,300",3.20,20.00,65,-,20.00,-,-,-,6,
,-,-,-,-,-,-,-,-,-,-,"13,000.00","1,300",4.15,20.05,650,-,3.10,-,-,-,5,
,-,-,-,-,-,-,-,-,-,-,"14,000.00","1,300",4.25,-,-,-,18.40,-,-,-,17,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",650,6.55,-,-,-,12.30,-,-,-,18,
,-,-,-,-,-,-,-,-,-,-,"16,000.00",130,11.10,17.00,130,5.50,14.00,34.87,119,60,86,
,3,-,-,-,"7,580.00",-,-,-,-,-,"18,000.00",65,10.00,-,-,"-3,068.80",19.25,28.78,17,1,1,
,2,-,-,-,"7,800.00",-,-,-,-,-,"19,000.00",260,23.80,24.95,65,0.05,24.40,26.15,188,26,"2,301",
,-,-,-,-,-,-,-,-,-,-,"19,500.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,-,-,-,-,"20,000.00",65,29.25,30.90,65,0.55,30.50,23.49,318,55,"10,574",
,163,7,20,-,"5,161.00",38.65,65,"5,164.65","5,194.30",65,"21,000.00",650,36.00,37.50,455,1.95,37.50,20.78,960,374,"9,997",
,-,-,-,-,-,-,-,-,-,-,"22,000.00",130,46.75,49.50,"1,300",3.45,48.90,18.24,974,307,"3,443",
,2,-,-,-,"3,257.30",2.15,-,-,"3,900.00",65,"22,500.00",650,21.15,-,-,-,92.00,-,-,-,1,
,533,5,13,-,"3,254.05",-15.20,65,"3,253.85","3,293.20",65,"23,000.00","1,365",67.50,68.65,65,-1.55,67.55,15.82,"1,238",-199,"10,882",
,"1,880",-19,147,-,"2,406.50",-11.00,65,"2,385.90","2,411.45",65,"24,000.00",65,127.60,128.00,65,-6.60,128.00,14.47,"2,111",454,"16,276",
,"4,122",-59,453,-,"1,580.95",-8.10,455,"1,567.50","1,585.75",65,"25,000.00",65,267.00,270.90,65,-10.45,267.05,13.69,"2,162",283,"16,383",
,"1,810",71,337,5.12,"1,206.00",-27.60,65,"1,163.20","1,213.90",65,"25,500.00",130,382.05,384.60,65,-14.65,382.10,13.43,"1,419",174,"3,567",
,"10,442",171,"1,768",7.21,890.30,-23.85,65,885.60,892.15,65,"26,000.00",65,547.00,552.05,65,-21.20,549.15,13.45,"2,739",384,"16,780",
,"23,403",628,"7,169",8.37,420.90,-24.00,130,420.90,422.55,65,"27,000.00",65,"1,037.10","1,050.00",130,-12.25,"1,042.50",14.00,"2,934","1,842","20,316",
,"19,330",236,"2,878",8.87,165.40,-6.45,65,165.10,165.40,585,"28,000.00",65,"1,746.05","1,767.75",65,19.75,"1,768.45",15.86,76,9,"9,742",
,-,-,-,-,-,-,65,81.00,590.00,130,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,"6,511",313,"1,233",9.54,64.05,-4.20,130,63.95,66.00,65,"29,000.00",65,"2,601.10","2,638.85",65,49.70,"2,667.35",19.27,32,23,731,
,"4,398",-84,"1,099",10.64,31.00,-1.15,260,31.00,31.80,325,"30,000.00",65,"3,537.85","3,568.90",65,-10.80,"3,542.00",21.42,68,51,"1,020",
,667,5,29,12.07,20.00,-0.05,"1,430",19.15,20.00,"1,560","31,000.00",-,-,-,-,-,-,-,-,-,-,
,4,-,-,-,18.55,-,65,13.60,22.00,130,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,194,2,2,15.78,17.00,1.55,325,13.50,16.00,650,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,4.50,-,-,"34,500.00",-,-,-,-,-,-,-,-,-,-,
