CALLS,,PUTS
,OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,-,-,-,-,-,-,-,-,-,-,"12,000.00","5,265",1.05,-,-,-,1.25,-,-,-,10,
,-,-,-,-,-,-,-,-,-,-,"13,000.00",455,2.00,20.05,520,-,20.05,-,-,-,38,
,-,-,-,-,-,-,-,-,-,-,"14,000.00","5,265",1.05,-,-,-,20.05,-,-,-,16,
,-,-,-,-,-,-,-,-,-,-,"15,000.00",65,10.50,29.95,195,0.25,10.50,26.91,8,-,45,
,1,-,-,-,"6,200.00",-,-,-,-,-,"16,000.00",975,15.55,-,-,-,20.05,-,-,-,62,
,-,-,-,-,-,-,-,-,-,-,"17,000.00",325,20.20,-,-,-,39.00,-,-,-,62,
,-,-,-,-,-,-,-,-,-,-,"18,000.00","2,600",20.90,-,-,-,51.50,-,-,-,179,
,53,-,-,-,"6,955.00",-,-,-,-,-,"19,000.00","3,770",24.20,-,-,-,61.50,-,-,-,277,
,-,-,-,-,-,-,-,-,-,-,"19,500.00",130,6.25,-,-,-,-,-,-,-,-,
,15,-,-,-,"6,700.00",-,65,"5,712.30","7,499.90",65,"20,000.00",65,76.50,77.45,130,1.10,77.00,21.05,147,89,"1,718",
,84,1,1,-,"5,750.00",-50.00,65,"5,696.85","5,861.45",65,"21,000.00",65,91.25,93.30,65,-1.45,91.10,19.14,439,277,"1,323",
,120,0,2,-,"4,990.00",39.00,65,"4,931.25","5,043.15",65,"22,000.00",65,123.30,127.90,715,4.40,127.00,17.89,216,4,"3,694",
,-,-,-,-,-,-,-,-,-,-,"22,500.00",130,66.00,500.00,65,-,144.60,-,-,-,1,
,258,-,2,-,"4,099.00",12.85,65,"4,088.20","4,172.65",65,"23,000.00",260,173.20,176.90,650,1.75,173.45,16.57,488,-25,"6,598",
,736,1,13,-,"3,296.15",-28.55,65,"3,290.00","3,316.10",65,"24,000.00",130,265.30,267.25,65,0.65,267.10,15.83,713,39,"6,367",
,"5,655",-,95,-,"2,535.00",-17.65,520,"2,515.50","2,533.95",65,"25,000.00",65,430.00,431.60,65,0.90,430.75,15.53,"1,409",141,"13,224",
,81,16,26,-,"2,138.25",-32.10,650,"2,122.70","2,169.80",65,"25,500.00",65,540.00,557.30,65,-5.65,538.95,15.41,157,69,404,
,"5,283",114,326,-,"1,826.90",-22.65,65,"1,826.60","1,839.95",65,"26,000.00",65,674.00,675.00,130,-2.50,673.55,15.38,"1,449",161,"16,007",
,"7,338",311,971,6.40,"1,235.00",-13.45,65,"1,220.25","1,236.00",65,"27,000.00",65,992.00,"1,010.00",65,-5.05,"1,002.00",15.26,696,242,"8,321",
,"12,245",-46,"1,472",7.44,762.80,-21.45,65,759.05,776.95,65,"28,000.00",65,"1,451.10","1,462.00",65,1.10,"1,452.00",15.47,288,65,"8,869",
,204,-2,56,7.73,582.70,12.65,65,516.65,607.55,65,"28,500.00",-,-,-,-,-,-,-,-,-,-,
,"8,030",646,"1,606",7.85,427.50,-18.25,65,426.40,436.00,195,"29,000.00",65,"2,045.00","2,084.75",65,-11.10,"2,060.00",16.39,123,81,"2,246",
,"5,246",-67,"1,416",8.47,246.20,-4.90,650,242.85,248.55,65,"30,000.00",910,"2,800.00","2,838.75",65,-4.70,"2,800.00",17.95,63,43,"2,848",
,"2,640",78,297,8.86,133.30,-5.05,"1,235",133.30,143.00,65,"31,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,130,46.25,-,-,"31,500.00",-,-,-,-,-,-,-,-,-,-,
,394,40,175,10.38,57.50,7.20,325,55.00,57.40,65,"33,000.00",-,-,-,-,-,-,-,-,-,-,
,-,-,-,-,-,-,65,4.95,57.00,130,"34,500.00",-,-,-,-,-,-,-,-,-,-,
